hospital_sample_size,strategy,estimand,target_parameter,reference_parameter,reference_target_discrepancy,mean_estimate,bias,bias_mcse,relative_bias_percent,empirical_sd,empirical_variance,rmse,rmse_mcse,mean_estimated_se,se_to_esd_ratio,target_coverage,target_coverage_mcse,reference_coverage,mean_interval_width,mean_half_width,mean_positive_cases,mean_hard_positive_cases,mean_observed_patients,mean_observed_priority_share,mean_observed_hard_share,non_estimable_rate,non_estimable_mcse,replications_estimable,pr_bias_pass,pr_precision_pass,pr_point_estimation_pass,interval_validity_pass,reference_interval_validity_pass,variance_method_compatible,full_evidential_pass
40,N4,hard,0.7367758186397985,0.7109859154929578,-0.02578990314684071,0.7363720336241617,-0.0004037850156367989,0.000612742636371511,-0.054804325199251,0.04332744733004183,0.001877267692137549,0.04332499602928977,0.00042766776030182,0.042138799235284435,0.9725659329592393,0.9336,0.003521108916236475,0.8976,0.16433354850174273,0.08216677425087136,236.3258,236.3258,2542.8858,0.4930348275050767,0.29084537472905914,0.0,0.0,5000,True,False,False,True,False,True,False
40,N4,national,0.8783980078854534,0.8418798188716191,-0.0365181890138343,0.8784184195346671,2.041164921365364e-05,0.0003001916446318467,0.002323735827087099,0.021226754757472106,0.0004505751175338647,0.021224641790753066,0.00021625997318988288,0.020369525095935016,0.959615604394952,0.9326,0.0035456237815086927,0.6316,0.08053164337993146,0.04026582168996573,544.9528,236.3258,2542.8858,0.4930348275050767,0.29084537472905914,0.0,0.0,5000,True,False,False,True,False,True,False
40,N5,easy,0.9480037140204272,0.9424367020125516,-0.005567012007875571,0.9479236309551973,-8.008306522994693e-05,0.00023463969536179272,-0.008447547625137398,0.016591531972586934,0.00027527893319737447,0.01659006602482557,0.0001710994279724535,0.01337695862807297,0.8062521682852923,0.8988,0.004265174322346039,0.884,0.054318321838775725,0.027159160919387863,308.627,236.3258,2542.8858,0.4930348275050767,0.29084537472905914,0.0,0.0,5000,True,False,False,False,False,False,False
40,N5,hard,0.7367758186397985,0.7109859154929578,-0.02578990314684071,0.7363720336241617,-0.0004037850156367989,0.000612742636371511,-0.054804325199251,0.04332744733004183,0.001877267692137549,0.04332499602928977,0.00042766776030182,0.031351022127318835,0.7235834109613253,0.8456,0.005110002739725293,0.7814,0.12256504619542663,0.061282523097713315,236.3258,236.3258,2542.8858,0.4930348275050767,0.29084537472905914,0.0,0.0,5000,True,False,False,False,False,False,False
40,N5,national,0.8783980078854534,0.8418798188716191,-0.0365181890138343,0.8784184195346671,2.041164921365364e-05,0.0003001916446318467,0.002323735827087099,0.021226754757472106,0.0004505751175338647,0.021224641790753066,0.00021625997318988288,0.014295095532079817,0.6734470575181893,0.8172,0.005465970362158946,0.3822,0.05627272896823651,0.028136364484118256,544.9528,236.3258,2542.8858,0.4930348275050767,0.29084537472905914,0.0,0.0,5000,True,False,False,False,False,False,False
80,N1,easy,0.9480037140204272,0.9480037140204272,0.0,0.9479604548258219,-4.325919460509942e-05,0.00011088906465211498,-0.004563188304573171,0.007841040957494399,6.148192329710467e-05,0.007840376156177912,7.67604436902458e-05,0.007794305031116843,0.9940395762972153,0.9494,0.0030996657884359074,0.9494,0.030904731995707528,0.015452365997853764,646.1476,1056.6208,5117.0,0.24481047488762941,0.20649224154778184,0.0,0.0,5000,True,True,True,True,True,True,True
80,N1,hard,0.7367758186397985,0.7367758186397985,0.0,0.736703091554773,-7.272708502548684e-05,0.000312655594861002,-0.009870992394912232,0.022108089130212838,0.000488767604989435,0.022105997844416195,0.00021344103457091756,0.02209675836192799,0.9994874831461863,0.9528,0.002999071856424918,0.9528,0.08650159887027471,0.043250799435137356,317.391,1056.6208,5117.0,0.24481047488762941,0.20649224154778184,0.0,0.0,5000,True,False,False,True,True,True,False
80,N1,national,0.8783980078854534,0.8783980078854534,0.0,0.8783746297893653,-2.337809608824204e-05,0.00013190209113194857,-0.0026614468473715657,0.00932688630920868,8.699080822490433e-05,0.009325982875742163,9.278480093661484e-05,0.009412297414938868,1.009157515477149,0.9536,0.0029747954551531774,0.9536,0.03696184740182929,0.018480923700914646,963.5386,1056.6208,5117.0,0.24481047488762941,0.20649224154778184,0.0,0.0,5000,True,True,True,True,True,True,True
80,N2,easy,0.9480037140204272,0.948003714020427,-1.1102230246251565e-16,0.9479720610897564,-3.165293067064541e-05,0.0001426682662586434,-0.003338903656443203,0.010088169853161466,0.00010177117098623583,0.010087210648145434,9.82754904568789e-05,0.009927882114612813,0.9841113164348217,0.9478,0.003145636978419475,0.9478,0.03965707621771287,0.019828538108856434,645.549,317.0936,5118.0178,0.24491095574120292,0.20646342879942517,0.0,0.0,5000,True,True,True,True,True,True,True
80,N2,hard,0.7367758186397985,0.7367758186397985,0.0,0.7367931779301371,1.735929033866186e-05,0.0005062427001946384,0.0023561156459653873,0.03579676462338172,0.0012814083575017933,0.035793188977447286,0.0003545103963797108,0.03545467571013196,0.990443580115441,0.9422,0.0033002775640845715,0.9422,0.13846704807023166,0.06923352403511583,317.0936,317.0936,5118.0178,0.24491095574120292,0.20646342879942517,0.0,0.0,5000,True,False,False,True,True,True,False
