hospital_sample_size,strategy,estimand,target_parameter,reference_parameter,reference_target_discrepancy,mean_estimate,bias,bias_mcse,relative_bias_percent,empirical_sd,empirical_variance,rmse,rmse_mcse,mean_estimated_se,se_to_esd_ratio,target_coverage,reference_coverage,mean_interval_width,mean_half_width,mean_positive_cases,mean_hard_positive_cases,mean_observed_patients,mean_observed_priority_share,mean_observed_hard_share,replications_estimable,target_coverage_mcse,non_estimable_rate,non_estimable_mcse,pr_bias_pass,pr_precision_pass,interval_validity_pass,reference_interval_validity_pass,variance_method_compatible,pr_point_estimation_pass,full_evidential_pass
40,N5,national,0.878398007885453,0.841879818871619,-0.0365181890138343,0.877575034441737,-0.000822973443716032,0.000293103003554112,-0.0936902675470721,0.0207255121399257,0.000429546853462209,0.0207397740918405,0.000216735608456657,0.0143668882480308,0.69319822598518,0.8282,0.4058,0.0565518353828618,0.0282759176914309,544.5408,236.4568,2541.2022,0.493458631430633,0.291050200547019,5000,0.00533450578779328,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
80,N1,easy,0.948003714020427,0.948003714020427,0,0.947840219599751,-0.00016349442067617,0.000110529132899973,-0.0172461793406695,0.00781558993922401,6.10834460980995e-05,0.00781651839596582,8.07749256205847e-05,0.007802328810344,0.998303246590069,0.951,0.951,0.0309353205981762,0.0154676602990881,646.2686,317.5316,5117,0.245057885479773,0.206532577682236,5000,0.00305283474822991,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
80,N1,hard,0.736775818639798,0.736775818639798,0,0.737268660390548,0.000492841750749772,0.000313355723036414,0.0668916837769776,0.0221575956682662,0.000490959045798367,0.0221608607003539,0.000219716940103775,0.022076418391216,0.996336367976674,0.9496,0.9496,0.086423018415796,0.043211509207898,317.5316,317.5316,5117,0.245057885479773,0.206532577682236,5000,0.00309385972532693,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
80,N1,national,0.878398007885453,0.878398007885453,0,0.878463578809621,6.55709241670708e-05,0.000132154750440118,0.00746483070071141,0.00934475202022235,8.73243903194496e-05,0.00934404756984262,9.38770418391148e-05,0.00940807808633778,1.00677664489955,0.9554,0.9554,0.0369453663994554,0.0184726831997277,963.8002,317.5316,5117,0.245057885479773,0.206532577682236,5000,0.00291927525252416,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
80,N2,easy,0.948003714020427,0.948003714020427,-1.11022302462516e-16,0.947848721488885,-0.000154992531541981,0.000141066898152399,-0.0163493591058485,0.00997493602845135,9.94993487716967e-05,0.00997514268503344,0.000100302936718901,0.00992664111965695,0.995158374083137,0.947,0.947,0.0396465032139164,0.0198232516069582,646.1836,318.0884,5116.3408,0.24502960335314,0.206642918051377,5000,0.00316831185333767,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
80,N2,hard,0.736775818639798,0.736775818639798,0,0.736276279562282,-0.000499539077516471,0.000506369683100823,-0.0678006884697569,0.0358057436707875,0.00128205127981814,0.0358056477228403,0.000365246185235053,0.0354229254979592,0.989308470273705,0.9338,0.9338,0.138340288467648,0.0691701442338239,318.0884,318.0884,5116.3408,0.24502960335314,0.206642918051377,5000,0.00351617860752266,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
80,N2,national,0.878398007885453,0.878398007885453,0,0.8781175512853,-0.000280456600153847,0.000222033595482454,-0.0319281917349726,0.0157001461016874,0.000246494587614329,0.015701081001045,0.000158815400719905,0.0155475444481016,0.990280239903665,0.9414,0.9414,0.0612462363074115,0.0306231181537057,964.272,318.0884,5116.3408,0.24502960335314,0.206642918051377,5000,0.00332162731202644,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
80,N3,easy,0.948003714020427,0.942436702012551,-0.00556701200787579,0.942319629747052,-0.0056840842733749,0.000148315511252884,-0.59958459964983,0.0104874903762064,0.000109987454391021,0.0119278778886678,0.000120728206126872,0.0103891473714415,0.990622827651126,0.907,0.9464,0.04138743091932,0.02069371545966,616.6594,473.5384,5083.518,0.493460607874334,0.291241896850559,5000,0.00410733490234239,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
80,N3,hard,0.736775818639798,0.710985915492958,-0.0257899031468407,0.710602495424293,-0.0261733232155056,0.000400083583434235,-3.55241344155751,0.0282901814887761,0.000800334368667892,0.0385385151496199,0.000355604202562596,0.0283697330367595,1.00281198436337,0.8422,0.9474,0.1108856868374,0.0554428434186998,473.5384,473.5384,5083.518,0.493460607874334,0.291241896850559,5000,0.00515556320880658,0,0,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
80,N3,national,0.878398007885453,0.841879818871619,-0.0365181890138343,0.841721166830183,-0.0366768410552701,0.000221387762165605,-4.17542397933727,0.0156544787899014,0.000245062706183472,0.0398773665559272,0.000216316493302021,0.0157444698017528,1.00574857924427,0.2882,0.9468,0.0618286174328375,0.0309143087164187,1090.1978,473.5384,5083.518,0.493460607874334,0.291241896850559,5000,0.00640532216207741,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
